0	1	2	3	4	5	6	7
č.	Střih - Název	č.	Druh	č.	Materiál	Typ výrobku	Poznámky
001	KLÁRA	01	Textil	06	WOOL LOOK	Kabelka	
001	KLÁRA	05	Papír	01	Kraft Tex	Kabelka	
002	JANA	05	Papír	01	Kraft Tex	Kabelka	
003	SÁRA	05	Papír	01	Kraft Tex	Kabelka	
004	MATYLDA	05	Papír	01	Kraft Tex	Kabelka	
005	PÁŤA	05	Papír	01	Kraft Tex	Kosmetická taška	
006	PEPINO	05	Papír	01	Kraft Tex	Příruční taštička	
007	BÁRA	05	Papír	01	Kraft Tex	Batoh	
008	EMA	05	Papír	01	Kraft Tex	Kabelka	
009	ANTONÍN	05	Papír	01	Kraft Tex	Pánská taška	
010	MARIE	05	Papír	01	Kraft Tex	Kabelka	
011	MARTINA	05	Papír	01	Kraft Tex	Kabelka	
012	SIMONA	05	Papír	01	Kraft Tex	Kabelka	
013	STELA	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
014	GABRIELA	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
015	PETRA	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
016	ANETA	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
017	ANNA	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
018	ŠTĚPÁNKA	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
019	LUCIE	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
020	SYLVIE	04	Plsť	01	Plsť - 3 mm	Kabelka	100% Vlna
021	KARINKA	05	Papír	01	Kraft Tex	Batoh	
022	BONY A	05	Papír	01	Kraft Tex	Kabelka	
023	BONY B	05	Papír	01	Kraft Tex	Kabelka	
024	VILMA	05	Papír	01	Kraft Tex	Kabelka	
025	OSKAR	05	Papír	01	Kraft Tex	Pánská taška	
026	LENKA	05	Papír	01	Kraft Tex	Ledvinka	
027	LINDA A	05	Papír	01	Kraft Tex	Kabelka	
028	LÍDA velká	05	Papír	01	Kraft Tex	Pouzdro 	
029	PAULA	05	Papír	01	Kraft Tex	Kosmetická taška velká	
030	PŘÍRUČNÍ MARIE	05	Papír	01	Kraft Tex	Příruční taška	
031	HOME	05	Papír	01	Kraft Tex	Ošatka	
031	HOME	05	Papír	01	Kraft Tex	Ošatka sada 2ks	
032	HONZÍK	05	Papír	01	Kraft Tex	Batoh	
033	KLAUDIE	05	Papír	01	Kraft Tex	Kabelka	
034	MONIKA A (čtvercová malá)	05	Papír	01	Kraft Tex	Kabelka	
035	MONIKA B (čtvercová velká)	05	Papír	01	Kraft Tex	Kabelka	
036	MONIKA C (podlouhlá velká	05	Papír	01	Kraft Tex	Kabelka	
037	LINDA B	05	Papír	01	Kraft Tex	Kabelka	
038	Psaní	05	Papír	01	Kraft Tex	HOME	
039	VIOLA A (podlouhlá malá)	05	Papír	01	Kraft Tex	Kabelka	
040	VIOLA B (čtvercová malá)	05	Papír	01	Kraft Tex	Kabelka	
041	VIOLA C (podlouhlá velká)	05	Papír	01	Kraft Tex	Kabelka	
042	VIOLA D (čtvercová velká)	05	Papír	01	Kraft Tex	Kabelka	
043	MONIKA D (podlouhlá malá)	05	Papír	01	Kraft Tex	Kabelka	
044	ŠÁRKA	05	Papír	01	Kraft Tex	Ledvinka	
045	DOLY	05	Papír	01	Kraft Tex	Kapsička	
046	SOŇA	05	Papír	01	Kraft Tex	Kabelka	
047	ESTER	05	Papír	01	Kraft Tex	Kabelka	
048	BRUNO	05	Papír	01	Kraft Tex	Pánská toaletní taštička	
049	EMAN	05	Papír	01	Kraft Tex	Pánský motýlek	
049	EMAN dětský	05	Papír	01	Kraft Tex	Dětský motýlek	
050	PEPINO, PÁŤA, PAULA	05	Papír	01	Kraft Tex	Sada 3ks toaletních taštiček	
051	POLI	05	Papír	01	Kraft Tex	Příruční taštička	
052	ADÉLA	05	Papír	01	Kraft Tex	Kabelka	
053	BLANKA	05	Papír	01	Kraft Tex	Batoh	
054	HANKA	05	Papír	01	Kraft Tex	Batoh	
055	CECILIE	04	Plsť	01	Plsť - 3 mm 	Kabelka	100% Vlna
056	ALBERT	05	Papír	01	Kraft Tex	Vak	
057	ROMANA	04	Plsť	01	Plsť - 3 mm 	Batoh	100% Vlna
058	ADÉLKA	05	Papír	01	Kraft Tex	Kabelka dětská	
059	HOME	05	Papír	01	Kraft Tex	Vak na hračky (uzavíratelný)	
060	ANDĚLA	05	Papír	01	Kraft Tex	Kabelka	
060	ANDĚLA malá	05	Papír	01	Kraft Tex	Kabelka	
061	OTÝLIE	05	Papír	01	Kraft Tex	Peněženka (kapsička)	
062	EMÍLIE	05	Papír	01	Kraft Tex	Dámský motýlek	
063	PONY	05	Papír	01	Kraft Tex	Kapsička	
064	VIOLA E (podlouhlá malá)	05	Papír	01	Kraft Tex	Kabelka	
065	Sada EMAN a KAPESNÍČEK	05	Papír	01	Kraft Tex	Sada 2ks motýlek Eman + Kapesníček do klopy	
066	KAPESNÍČEK do klopy	01	Textil	01	xx	Kapesníček do klopy	
067	LAURA	05	Papír	01	Kraft Tex	Kabelka	
068	Pytlík na cokoliv	05	Papír	01	Kraft Tex	Pytlík	Přidal MV
069	OLGA L	05	Papír	01	Kraft Tex	Kabelka	Přidal MV
070	OLGA S	05	Papír	01	Kraft Tex	Kabelka	Přidal MV
071	OLA	05	Papír	01	Kraft Tex	Kabelka	Přidal MV
098	VÝROBKY JL	04	Plsť	03	Plsť - 3 mm	Designový koš 	PES
099	OSTATNÍ VÝROBKY	01	Textil	01		Pastelkovník	
099	OSTATNÍ VÝROBKY	01	Textil	01		Rousky, ústenky	
099	OSTATNÍ VÝROBKY	01	Textil	01		Rousky, ústenky, letní verze obchod	
099	OSTATNÍ VÝROBKY	01	Textil	01		Rousky, ústenky, pro filtr, obchod	
099	OSTATNÍ VÝROBKY	01	Textil	01		Rousky, ústenky, letní verze obchod Madeira	
099	OSTATNÍ VÝROBKY	01	Textil	01		Obal na mobil (plsť)	
099	OSTATNÍ VÝROBKY	05	Papír	01	Kraft Tex	Pouzdro na roušku	
