0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Moti	27.00
Střih	Číslo výrobku	EAN	Název	Typ výrobku	Provedení	S	MJ	Počet	Orintace	RAL	Barva základní části	Vzor	RAL	Barva dna, kapsy	Vzor	Typ	Materiál	Délka (m)	Šířka (mm)	Barva			Uchycení			NC-P	PC-P
001	001-05-01/0012	8595700100010	KLÁRA	Kabelka	0012	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Přední obrázek	Nikl	509.03	801.65
001	001-05-01/0029	8595700100027	KLÁRA	Kabelka	0029	A	ks	2	Vodorovně	8028	Zemní hnědá		7039	Křemenná šedá		Popruh	Bavlna	1,3	30	8017	Čokoládová hnědá		Karabiny	Pruhy	NIkl	509.03	801.65
001	001-05-01/0009	8595700100034	KLÁRA	Kabelka	0009	A	ks	1	 -	4008	Fialová signální		 	 -	 -	Popruh		1,3	30	4008	Fialová signální		Karabiny	Prošití stříbrná nit	Nikl	509.03	801.65
001	001-05-01/0010	8595700100041	KLÁRA	Kabelka	0010	A	ks	1	 -	6018	Zelenožlutá		 	 -	 -	Popruh		1,3	30	6018	Zelenožlutá		Karabiny	Prošití stříbrná nit	Nikl	509.03	801.65
001	001-05-01/0011	8595700100058	KLÁRA	Kabelka	0011	A	ks	1	 -	1016	Sírová žlutá		 	 -	 -	Popruh		1,3	30	1016	Sírová žlutá		Karabiny	Prošití stříbrná nit	Nikl	509.03	801.65
001	001-05-01/0001	8595700100065	KLÁRA	Kabelka	0001	A	ks	2	Na střed	9005	Černá		9010	Čistě bílá		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Hanunka - přední kapsa	Nikl	509.03	801.65
001	001-05-01/0002	8595700100072	KLÁRA	Kabelka	0002	A	ks	1	 -	8001	Okrová hnědá		 	 -	 -	Popruh	Bavlna	1,3	30	9001	Krémová		Karabiny	Kapsa	NIkl	509.03	801.65
001	001-05-01/0003	8595700100089	KLÁRA	Kabelka	0003	A	ks	1	 -	8023	Hnědooranžová		 	 -	 -	Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Kapsa	NIkl	509.03	801.65
001	001-05-01/0004	8595700100096	KLÁRA	Kabelka	0004	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh	Bavlna	1,3	30	9001	Krémová		Karabiny	Kapsa	Nikl	509.03	801.65
001	001-05-01/0005	8595700100102	KLÁRA	Kabelka	0005	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Kapsa	Nikl	509.03	801.65
001	001-05-01/0006	8595700100119	KLÁRA	Kabelka	0006	A	ks	1	 -	7035	Světle šedá		 	 -	 -	Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Dvě malé kapsičky	Nikl	509.03	801.65
001	001-05-01/0007	8595700100126	KLÁRA	Kabelka	0007	A	ks	1	 -	8001	Okrová hnědá		8001	 -	 -	Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Kapsa	NIkl	509.03	801.65
